date,values
1/8/2015,30970
1/9/2015,89580
1/10/2015,35200
1/11/2015,21820
1/12/2015,44860
1/13/2015,37540
1/14/2015,32030
1/15/2015,14360
1/16/2015,39200
1/17/2015,22200
1/18/2015,11400
1/19/2015,24620
1/20/2015,24570
1/21/2015,32290
1/22/2015,28370
1/23/2015,32140
1/24/2015,24270
1/25/2015,12650
1/26/2015,25680
1/27/2015,30180
1/28/2015,31650
1/29/2015,31610
1/30/2015,28190
1/31/2015,23380
2/1/2015,25330
2/2/2015,26420
2/3/2015,28830
2/4/2015,35130
2/5/2015,27200
2/6/2015,13360
2/7/2015,26910
2/8/2015,7510
2/9/2015,34320
2/10/2015,37670
2/11/2015,24260
2/12/2015,21780
2/13/2015,32850
2/14/2015,25570
2/15/2015,12020
2/16/2015,23710
2/17/2015,23700
2/18/2015,30520
2/19/2015,29210
2/20/2015,28550
2/21/2015,25720
2/22/2015,9950
2/23/2015,29110
2/24/2015,29800
2/25/2015,34720
2/26/2015,29760
2/27/2015,20740
2/28/2015,25710
3/1/2015,41100
3/2/2015,27910
3/3/2015,28250
3/4/2015,23880
3/5/2015,12690
3/6/2015,38950
3/7/2015,28790
3/8/2015,21970
3/9/2015,31870
3/10/2015,30900
3/11/2015,34590
3/12/2015,41380
3/13/2015,19430
3/14/2015,30069.34898
3/15/2015,43990.41444
3/16/2015,20640
3/17/2015,31740
3/18/2015,35490
3/19/2015,36060
3/20/2015,32320
3/21/2015,28640
3/22/2015,11380
3/23/2015,26660
3/24/2015,37770
3/25/2015,27350
3/26/2015,30150
3/27/2015,21350
3/28/2015,34670
3/29/2015,15260
3/30/2015,34450
3/31/2015,36540
4/1/2015,20190
4/2/2015,24960
4/3/2015,38670
4/4/2015,30490
4/5/2015,27160
4/6/2015,22590
4/7/2015,24690
4/8/2015,30280
4/9/2015,38730
4/11/2015,37140
4/12/2015,32960
4/13/2015,27050
4/14/2015,7380
4/15/2015,16790
4/16/2015,20480
4/17/2015,26920
4/18/2015,22050
4/19/2015,17060
4/20/2015,31180
4/21/2015,39940
4/22/2015,42710
4/23/2015,29320
4/24/2015,30400
4/25/2015,38880
4/26/2015,10820
4/27/2015,23270
4/28/2015,35730
4/29/2015,38710
4/30/2015,27820
5/1/2015,26990
5/2/2015,31090
5/3/2015,24410
5/4/2015,21380
